categorie,naam,beschrijving,prijs_eur,opties_keuze,opties_saus,supplementen_extra
Warme Broodjes,Curryworst,,6,,Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Saus dubbel (+€2) / Spéciaalsaus (+€2) / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
Warme Broodjes,Curryworst spéciaal,,6.5,,Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Saus dubbel (+€2) / Spéciaalsaus (+€2) / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
Warme Broodjes,Boulet,,6,,Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Saus dubbel (+€2) / Spéciaalsaus (+€2) / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
Warme Broodjes,Boulet spéciaal,,6.5,,Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Saus dubbel (+€2) / Spéciaalsaus (+€2) / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
Warme Broodjes,Saté,,6.5,,Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Saus dubbel (+€2) / Spéciaalsaus (+€2) / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
Warme Broodjes,Kipsaté,,6.5,,Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Saus dubbel (+€2) / Spéciaalsaus (+€2) / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
Warme Broodjes,Sitostick,,6.5,,Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Saus dubbel (+€2) / Spéciaalsaus (+€2) / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
Warme Broodjes,Grizzly,,7,,Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Saus dubbel (+€2) / Spéciaalsaus (+€2) / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
Warme Broodjes,Vleeskroket (2 stuks),,8,,Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Saus dubbel (+€2) / Spéciaalsaus (+€2) / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
Warme Broodjes,Kaaskroket (2 stuks),,8,,Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Saus dubbel (+€2) / Spéciaalsaus (+€2) / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
